Target,Model,No_of_Features,Train_R2,Train_Adjusted_R2,Test_R2,Test_Adjusted_R2,Test_RMSE,Test_MAE,Test_MAPE_percent,AIC,BIC,Source_Notebook,Train_Test_R2_Gap,Model_Family
Cooling Load,Neural Network Regression,,0.9919753349506416,,0.9835945002224052,0.982689369200193,1.2329186017939873,0.874872996708694,,,,Semi-Parametric and Nonlinear,0.008380834728236364,Deep Learning
Cooling Load,Linear Basis Model,,0.8882593289004728,,0.8949583305630099,0.8891629281113139,3.119754933464355,2.180511908625355,,,,Semi-Parametric and Nonlinear,-0.0066990016625371185,Linear / Parametric
Cooling Load,Tuned Gradient Boosting Regression,,0.9988091543665368,,0.9905512769978074,0.990029968142514,0.9356775968302832,0.5628292506742076,,,,Semi-Parametric and Nonlinear,0.008257877368729405,Nonlinear Machine Learning
Cooling Load,LASSO Regression,,0.88821071183412,,0.8945997189758546,0.8839838633331348,3.125075807663854,2.179069744009414,,,,Regularized Regression,-0.006389007141734515,Regularized Regression
Cooling Load,Polynomial Function Model,,0.9712371664212311,,0.9650942716823424,0.9631684383958508,1.7984071664654813,1.3287923534991235,,,,Semi-Parametric and Nonlinear,0.006142894738888738,Semi-Parametric / Basis Function
Heating Load,Simple ANN,,0.9988540410995485,,0.9966331124305724,0.9962940014523568,0.5924018562493228,0.4323415458202362,,,,Deep Learning,0.0022209286689758,Deep Learning
Heating Load,Linear Basis Model,,0.924157132674052,,0.9208501870029356,0.9164833007686148,2.872277093682071,2.0590362333385626,,,,Semi-Parametric and Nonlinear,0.0033069456711163348,Linear / Parametric
Heating Load,Tuned Gradient Boosting Regression,,0.99949930135648,,0.9986020471537544,0.998524918720858,0.3817224033595385,0.2753212781631686,,,,Semi-Parametric and Nonlinear,0.0008972542027255725,Nonlinear Machine Learning
Heating Load,Elastic Net Regression,,0.9241350286566016,,0.9205507011904128,0.9125486135405262,2.8777060014316462,2.0626065193706093,,,,Regularized Regression,0.0035843274661887525,Regularized Regression
Heating Load,Polynomial Function Model,,0.996653429178307,,0.9963921567605076,0.9961931033403976,0.6132325767304516,0.5041289237429301,,,,Semi-Parametric and Nonlinear,0.00026127241779938526,Semi-Parametric / Basis Function
