Target,Model,No_of_Features,Train_R2,Train_Adjusted_R2,Test_R2,Test_Adjusted_R2,Test_RMSE,Test_MAE,Test_MAPE_percent,AIC,BIC,Source_Notebook,Train_Test_R2_Gap,Rank
Cooling Load,Tuned Gradient Boosting Regression,,0.9988091543665368,,0.9905512769978074,0.990029968142514,0.9356775968302832,0.5628292506742076,,,,Semi-Parametric and Nonlinear,0.008257877368729405,1
Cooling Load,Tuned Gradient Boosting Regression,,0.998809,,0.990551,0.99003,0.935678,0.562829,,,,Deep Learning Comparison,0.008258,2
Cooling Load,Neural Network Regression,,0.9919753349506416,,0.9835945002224052,0.982689369200193,1.2329186017939873,0.874872996708694,,,,Semi-Parametric and Nonlinear,0.008380834728236364,3
Cooling Load,Support Vector Regression,,0.9903642403993655,,0.9743091325958952,0.972891705428772,1.5428690113302763,1.015510011260799,,,,Semi-Parametric and Nonlinear,0.016055107803470303,4
Cooling Load,Gradient Boosting Regression,,0.9812110066457546,,0.9736567140230016,0.9722032913484088,1.5623367397465049,1.0698445852309075,,,,Semi-Parametric and Nonlinear,0.007554292622752978,5
Cooling Load,Polynomial Function Model,,0.9712371664212311,,0.9650942716823424,0.9631684383958508,1.7984071664654813,1.3287923534991235,,,,Semi-Parametric and Nonlinear,0.006142894738888738,6
Cooling Load,GAM-style Additive Model (n_knots=10),,0.968453969794888,,0.9632465186118204,0.9612187403283348,1.8453931912475827,1.3646453516352102,,,,Semi-Parametric and Nonlinear,0.005207451183067535,7
Cooling Load,Smoothing Spline Model,,0.9684713490903332,,0.9631229025605508,0.9610883040811328,1.8484939686254804,1.3667850094846714,,,,Semi-Parametric and Nonlinear,0.005348446529782391,8
Cooling Load,GAM-style Additive Model (n_knots=8),,0.968472336581309,,0.9631185767743968,0.9610837396309152,1.8486023821895905,1.3668698561224597,,,,Semi-Parametric and Nonlinear,0.005353759806912217,9
Cooling Load,GAM-style Additive Model (n_knots=6),,0.9684882654950444,,0.9629817802113484,0.960939395671285,1.852027526518062,1.3693007376288693,,,,Semi-Parametric and Nonlinear,0.0055064852836960165,10
