Target,Model,No_of_Features,Train_R2,Train_Adjusted_R2,Test_R2,Test_Adjusted_R2,Test_RMSE,Test_MAE,Test_MAPE_percent,AIC,BIC,Source_Notebook,Train_Test_R2_Gap,Rank
Cooling Load,Tuned Gradient Boosting Regression,,0.9988091543665368,,0.9905512769978074,0.990029968142514,0.9356775968302832,0.5628292506742076,,,,Semi-Parametric and Nonlinear,0.008257877368729405,1
Cooling Load,Tuned Gradient Boosting Regression,,0.998809,,0.990551,0.99003,0.935678,0.562829,,,,Deep Learning Comparison,0.008258,2
Cooling Load,Neural Network Regression,,0.9919753349506416,,0.9835945002224052,0.982689369200193,1.2329186017939873,0.874872996708694,,,,Semi-Parametric and Nonlinear,0.008380834728236364,3
Cooling Load,Support Vector Regression,,0.9903642403993655,,0.9743091325958952,0.972891705428772,1.5428690113302763,1.015510011260799,,,,Semi-Parametric and Nonlinear,0.016055107803470303,4
Cooling Load,Gradient Boosting Regression,,0.9812110066457546,,0.9736567140230016,0.9722032913484088,1.5623367397465049,1.0698445852309075,,,,Semi-Parametric and Nonlinear,0.007554292622752978,5
Cooling Load,Polynomial Function Model,,0.9712371664212311,,0.9650942716823424,0.9631684383958508,1.7984071664654813,1.3287923534991235,,,,Semi-Parametric and Nonlinear,0.006142894738888738,6
Cooling Load,GAM-style Additive Model (n_knots=10),,0.968453969794888,,0.9632465186118204,0.9612187403283348,1.8453931912475827,1.3646453516352102,,,,Semi-Parametric and Nonlinear,0.005207451183067535,7
Cooling Load,Smoothing Spline Model,,0.9684713490903332,,0.9631229025605508,0.9610883040811328,1.8484939686254804,1.3667850094846714,,,,Semi-Parametric and Nonlinear,0.005348446529782391,8
Cooling Load,GAM-style Additive Model (n_knots=8),,0.968472336581309,,0.9631185767743968,0.9610837396309152,1.8486023821895905,1.3668698561224597,,,,Semi-Parametric and Nonlinear,0.005353759806912217,9
Cooling Load,GAM-style Additive Model (n_knots=6),,0.9684882654950444,,0.9629817802113484,0.960939395671285,1.852027526518062,1.3693007376288693,,,,Semi-Parametric and Nonlinear,0.0055064852836960165,10
Heating Load,Tuned Gradient Boosting Regression,,0.99949930135648,,0.9986020471537544,0.998524918720858,0.3817224033595385,0.2753212781631686,,,,Semi-Parametric and Nonlinear,0.0008972542027255725,1
Heating Load,Tuned Gradient Boosting Regression,,0.999499,,0.998602,0.998525,0.381722,0.275321,,,,Deep Learning Comparison,0.000897,2
Heating Load,Gradient Boosting Regression,,0.9985643500100762,,0.9979281135901512,0.9978138026158148,0.4647125049499239,0.3413774309300918,,,,Semi-Parametric and Nonlinear,0.0006362364199249404,3
Heating Load,Random Forest Regression,,0.999654182611231,,0.9973343853700548,0.9971873169766784,0.5271085610157622,0.3588696103896046,,,,Semi-Parametric and Nonlinear,0.002319797241176147,4
Heating Load,Tuned Random Forest Regression,,0.999654182611231,,0.9973343853700548,0.9971873169766784,0.5271085610157622,0.3588696103896046,,,,Semi-Parametric and Nonlinear,0.002319797241176147,4
Heating Load,Simple ANN,,0.9988540410995485,,0.9966331124305724,0.9962940014523568,0.5924018562493228,0.4323415458202362,,,,Deep Learning,0.0022209286689758,5
Heating Load,Neural Network Regression,,0.9985319899156928,,0.9964629239967951,0.9962677749759288,0.607188565131961,0.4646692055873047,,,,Semi-Parametric and Nonlinear,0.0020690659188976612,6
Heating Load,Polynomial Function Model,,0.996653429178307,,0.9963921567605076,0.9961931033403976,0.6132325767304516,0.5041289237429301,,,,Semi-Parametric and Nonlinear,0.00026127241779938526,7
Heating Load,Extra Trees Regression,,1.0,,0.9958720639388196,0.9956443157423408,0.6559456692578971,0.4410836363636397,,,,Semi-Parametric and Nonlinear,0.004127936061180448,8
Heating Load,Support Vector Regression,,0.9985892238323744,,0.995001141505078,0.9947253424157028,0.7218331279351891,0.522608111186535,,,,Semi-Parametric and Nonlinear,0.003588082327296349,9
