Target,Feature,Transformation,Train_R2,Test_R2,Test_RMSE,Test_MAE
Cooling Load,glazing_area,polynomial,0.0466109155471387,0.02703703613762032,9.494843853147882,8.723186628186626
Cooling Load,glazing_area_distribution,linear,0.01701056766873288,0.006520494810222877,9.594428895193225,8.697288468408612
Cooling Load,orientation,linear,0.0005272473126827215,-0.007561066908019498,9.66218528203439,8.737864023256305
Cooling Load,overall_height,linear,0.8008935526188905,0.8068612093135138,4.2303317452544205,3.194880450675152
Cooling Load,relative_compactness,smoothing_spline,0.8487505152271324,0.8348165985865131,3.9122164497392133,3.284549207722079
Cooling Load,roof_area,smoothing_spline,0.8222418997674058,0.8278888753801154,3.9934122301140977,2.963454110202853
Cooling Load,surface_area,smoothing_spline,0.9088507658030753,0.9015499735760918,3.020282671694063,2.3246039499776208
Cooling Load,wall_area,regression_spline,0.44001116383516925,0.4631086624190818,7.05314595288463,5.635320176873794
Heating Load,glazing_area,polynomial,0.08329222716358131,0.0659588829550426,9.866983125448852,9.1465505983057
Heating Load,glazing_area_distribution,linear,0.04152800296257941,0.032954578044193106,10.03979453053809,9.116493607084896
Heating Load,orientation,linear,5.5175337854262985e-05,-0.005937216256759026,10.239690407268393,9.272155640463087
Heating Load,overall_height,linear,0.790594877112507,0.7920012396798622,4.656201447081399,3.6440842171073955
Heating Load,relative_compactness,smoothing_spline,0.8349740399939777,0.83221715143725,4.181914698061728,3.413572542072454
Heating Load,roof_area,smoothing_spline,0.8110481749788234,0.8118421023692715,4.428560826663186,3.441957136901495
Heating Load,surface_area,smoothing_spline,0.8892787125420365,0.8904292967174867,3.379470134479875,2.5133539192617635
Heating Load,wall_area,regression_spline,0.41549782023985105,0.4519167821740673,7.558308956435809,6.158071457170592
