Target,Model,Train_R2,Test_R2,Test_Adjusted_R2,Test_RMSE,Test_MAE
Cooling Load,Tuned Gradient Boosting Regression,0.9988091543665368,0.9905512769978074,0.9900299681425141,0.9356775968302832,0.5628292506742076
Cooling Load,Neural Network Regression,0.9919753349506416,0.9835945002224051,0.982689369200193,1.2329186017939873,0.874872996708694
Cooling Load,Support Vector Regression,0.9903642403993655,0.9743091325958951,0.9728917054287721,1.5428690113302765,1.0155100112607993
Cooling Load,Gradient Boosting Regression,0.9812110066457546,0.9736567140230017,0.9722032913484087,1.5623367397465049,1.0698445852309075
Cooling Load,Polynomial Function Model,0.9712371664212311,0.9650942716823423,0.9631684383958509,1.7984071664654813,1.3287923534991237
Cooling Load,GAM-style Additive Model (n_knots=10),0.9684539697948881,0.9632465186118205,0.9612187403283348,1.8453931912475827,1.3646453516352102
Cooling Load,Smoothing Spline Model,0.9684713490903333,0.9631229025605507,0.9610883040811328,1.8484939686254804,1.3667850094846714
Cooling Load,GAM-style Additive Model (n_knots=8),0.968472336581309,0.9631185767743967,0.9610837396309152,1.8486023821895905,1.3668698561224597
Cooling Load,GAM-style Additive Model (n_knots=6),0.9684882654950443,0.9629817802113485,0.960939395671285,1.852027526518062,1.3693007376288693
Cooling Load,GAM-style Additive Model (n_knots=4),0.9684898414361586,0.9629465539554036,0.9609022258977707,1.852908504627597,1.3705463277860834
Cooling Load,GAM-style Additive Model (n_knots=5),0.9684895298060383,0.9629417114553236,0.9608971162252725,1.8530295786085482,1.3709845636693003
Cooling Load,Regression Spline Model,0.9684898010245838,0.9629414971934869,0.960896890142093,1.8530349354796118,1.3708429255745058
Cooling Load,Tuned Random Forest Regression,0.9951935756242729,0.95527873036342,0.9528113499696776,2.035620120076728,1.2684489177489227
Cooling Load,Random Forest Regression,0.9951367860305811,0.9551611988246094,0.952687333932174,2.0382932617488927,1.2698738961039087
Cooling Load,Step Function Model,0.9485156983743471,0.9447039618831533,0.9416531459870514,2.2635322178058206,1.8329877056075878
Cooling Load,Extra Trees Regression,1.0,0.9245568248436526,0.9203944427660611,2.643928166517364,1.534871948051954
Cooling Load,Linear Basis Model,0.8882593289004728,0.8949583305630099,0.8891629281113139,3.119754933464355,2.180511908625355
Heating Load,Tuned Gradient Boosting Regression,0.9994993013564799,0.9986020471537543,0.998524918720858,0.3817224033595385,0.2753212781631686
Heating Load,Gradient Boosting Regression,0.9985643500100762,0.9979281135901512,0.9978138026158148,0.46471250494992394,0.3413774309300918
Heating Load,Random Forest Regression,0.999654182611231,0.9973343853700547,0.9971873169766784,0.5271085610157622,0.35886961038960463
Heating Load,Tuned Random Forest Regression,0.999654182611231,0.9973343853700547,0.9971873169766784,0.5271085610157622,0.35886961038960463
Heating Load,Neural Network Regression,0.9985319899156927,0.9964629239967951,0.9962677749759287,0.607188565131961,0.4646692055873047
Heating Load,Polynomial Function Model,0.996653429178307,0.9963921567605076,0.9961931033403977,0.6132325767304516,0.5041289237429301
Heating Load,Extra Trees Regression,1.0,0.9958720639388197,0.9956443157423408,0.6559456692578971,0.4410836363636397
Heating Load,Support Vector Regression,0.9985892238323743,0.9950011415050779,0.9947253424157029,0.7218331279351891,0.522608111186535
Heating Load,GAM-style Additive Model (n_knots=5),0.9903192927107559,0.9885520314987447,0.9879204194435031,1.0923595279340965,0.8068171179823563
Heating Load,GAM-style Additive Model (n_knots=4),0.9903195162040738,0.9885515248337032,0.9879198848245282,1.0923837005312602,0.8066530409377256
Heating Load,Regression Spline Model,0.9903193820905817,0.9885514610087217,0.9879198174781684,1.0923867455338159,0.8068190519993355
Heating Load,GAM-style Additive Model (n_knots=6),0.9903194687558862,0.9885381077022496,0.9879057274375461,1.0930236269740183,0.8067211535059413
Heating Load,Smoothing Spline Model,0.9903185974349866,0.9885258526406508,0.9878927962346178,1.0936078015997164,0.8068943453261205
Heating Load,GAM-style Additive Model (n_knots=8),0.990318319816307,0.9885233949244924,0.9878902029203265,1.0937249185221578,0.8069014506294224
Heating Load,GAM-style Additive Model (n_knots=10),0.9903130208210601,0.9884905768216639,0.9878555741635487,1.0952875911477182,0.80767533066523
Heating Load,Step Function Model,0.9765523684245734,0.9737514548441599,0.9723032592493549,1.6540704645619682,1.352864939421162
Heating Load,Linear Basis Model,0.9241571326740521,0.9208501870029356,0.9164833007686148,2.872277093682071,2.0590362333385626
