Target,Feature,Transformation,Train_R2,Test_R2,Test_RMSE,Test_MAE
Heating Load,relative_compactness,linear,0.3960366754899918,0.35025615992294,8.229481506587355,6.551712378007219
Heating Load,relative_compactness,step,0.5460462860069948,0.5055056046721493,7.1792995620315265,5.006159663056348
Heating Load,relative_compactness,polynomial,0.5210163845765223,0.4898210655934049,7.292268474078467,5.8862998009785015
Heating Load,relative_compactness,regression_spline,0.7183105207298927,0.7189959334809675,5.411998787072277,4.206848605703675
Heating Load,relative_compactness,smoothing_spline,0.8349740399939777,0.83221715143725,4.181914698061728,3.413572542072454
Heating Load,surface_area,linear,0.44180452708408735,0.3970310544542206,7.927730186904962,6.4575443922829345
Heating Load,surface_area,step,0.8155716500451986,0.8273123466169898,4.2425994585086135,3.1575248432131167
Heating Load,surface_area,polynomial,0.5783950388457724,0.5580532055314191,6.787133353769039,5.476605032994841
Heating Load,surface_area,regression_spline,0.7280192131878482,0.7321504409951212,5.283805906745208,4.052367534382747
Heating Load,surface_area,smoothing_spline,0.8892787125420365,0.8904292967174867,3.379470134479875,2.5133539192617635
Heating Load,wall_area,linear,0.19280146371854934,0.25864905794203674,8.790494571641553,7.7908420623727945
Heating Load,wall_area,step,0.21182679062045995,0.2968707032029374,8.560891346220924,7.320143901357053
Heating Load,wall_area,polynomial,0.27035925537474403,0.3109400434014875,8.474808517948924,7.2725772943040266
Heating Load,wall_area,regression_spline,0.41549782023985105,0.4519167821740673,7.558308956435809,6.158071457170592
Heating Load,wall_area,smoothing_spline,0.41545443420974315,0.451556858791355,7.560790300112465,6.163082311503982
Heating Load,roof_area,linear,0.7452760065703363,0.7318014145716394,5.28724736750401,3.9773086515590412
Heating Load,roof_area,step,0.284353486313101,0.28878466363806876,8.60997607587819,6.991339831474734
Heating Load,roof_area,polynomial,0.8110520854754721,0.8118404552490002,4.428580210267166,3.4411739488292454
Heating Load,roof_area,regression_spline,0.8110520854754721,0.8118404552490001,4.428580210267167,3.4411739488293143
Heating Load,roof_area,smoothing_spline,0.8110481749788234,0.8118421023692715,4.428560826663186,3.441957136901495
Heating Load,overall_height,linear,0.790594877112507,0.7920012396798622,4.656201447081399,3.6440842171073955
Heating Load,overall_height,step,0.0,-0.0055245239100216725,10.23758974168782,9.272103050044418
Heating Load,overall_height,polynomial,0.790594877112507,0.7920012396798621,4.656201447081399,3.644084217107396
Heating Load,overall_height,regression_spline,0.790594877112507,0.7920012396798622,4.656201447081399,3.6440842171073955
Heating Load,overall_height,smoothing_spline,0.7905947550446889,0.7919893331264634,4.656334713543467,3.644445962842752
Heating Load,orientation,linear,5.5175337854262985e-05,-0.005937216256759026,10.239690407268393,9.272155640463087
Heating Load,glazing_area,linear,0.07627763694335676,0.05384608763522969,9.93075535078849,9.181006554885752
Heating Load,glazing_area,step,0.07539848436644869,0.044994564500169365,9.977099649667506,9.182754021351425
Heating Load,glazing_area,polynomial,0.08329222716358131,0.0659588829550426,9.866983125448852,9.1465505983057
